abend,der Abend -e,le soir
suchte,suchen sucht suchte hat gesucht,chercher
tag,der Tag -e,la journée
tage,der Tag -e,la journée
tiefer,tiefer,plus profond
tier,das Tier -e,l'annimal
tierchen,das Tierchen -,le petit animal
tieren,das Tier -e,l'animal
tiger,der Tiger -,le tigre
tisch,der Tisch -e,la table
tochter,die Tochter ",la fille
tot,tot,décédé
totschiessen,totschießen,abattre
totschießen,totschießen,abattre
trank,trinken trinkt trank hat getrunken,boire
trat,treten tritt trat hat getreten,s'avancer
traurig,traurig,triste
trink,trinken trinkt trank hat getrunken,boire
trinken,trinken trinkt trank hat getrunken,boire
trinkt,trinken trinkt trank hat getrunken,boire
tropfen,tropfen tropft tropfte hat getropft,goutter
tränk,trinken trinkt trank hat getrunken,boire
töten,töten tötet tötete hat getötet,tuer
tür,die Tür -en,la porte
türe,die Tür -en,la porte
türlein,das Türlein,la petite porte
umzingelt,umzingeln umzingelt umzingelte hat umzingelt,entourer
unglück,das Unglück -e,le malheur
untergegangen,untergehen geht unter ging unter ist untergegangen,sombrer
vergnügt,vergnügt,réjoui
verlass,verlassen verlässt verließ hat verlassen,quitter
verlassen, verlassen verlässt verließ hat verlassen,quitter
verschwunden,verschwinden verschwindet verschwand ist verschwunden,disparaître
verwundet,verwunden verwundet verwundete hat verwundet,blesser
verwundete,verwunden verwundet verwundete hat verwundet,blesser
verwünscht,verwünscht,maudit
verwünschte,verwünscht,maudit
vorwürfe,der Vorwurf -e,le reproche
wald,der Wald "er,la forêt
walde,der Wald "er,la forêt
waldhäuschen,das Waldhäuschen,la petite maison de la forêt
warten,warten wartet wartete hat gewartet,attendre
wasser,das Wasser ",l'eau
weichen,weich,moelleux
weiches,weich,doux
weinen,weinen weint weinte hat geweint,pleurer
weinte,weinen weint weinte hat geweint,pleurer
weite,die Weite -n,l'immensité
welt,die Welt -en,le monde
wiesen,die Wiese -n,la prairie
wilden,wild,sauvage
wildes,wild,sauvage
wildnis,die Wildnis,la contrée sauvage
wirft,werfen wirft warf hat geworfen,jeter
wohlgehen,das Wohlgehen,le bien-être
wohnen,wohnen wohnt wohnte hat gewohnt,habiter
wolf,der Wolf ë,le loup
wunde,die Wunde -n,la blessure
wurzeln,die Wurzel -n,la racine
wusch,waschen wäscht wusch hat gewaschen,nettoyer
währte,wahren wahrt wahrte hat gewahrt,préserver
wüsste,wissen weiß wusste hat gewusst,savoir
zartes,zart,délicat
zeige,zeigen zeigt zeigte hat gezeigt,montrer
zeit,die Zeit -en,le temps
zerreißest,zerreißen zerreißt zerriss hat zerrissen,déchirer
zerrissen,zerrissen,déchiré
zugeschlossen,zuschließen schließt zu schloss zu hat zugeschlossen,fermer à clé
zuleide,zuleide,faire du mal
zweiten,der Zweite -n,le deuxième
öffnete,öffnen öffnet öffnete hat geöffnet,ouvrir
